steady_time_s,event,nav_enabled,rl_init_done,dt_ms,exec_ms,sdk_imu_stamp_ms,sdk_imu_stamp_delta_ms,imu_pub_dt_ms,imu_header_stamp_ms,imu_header_delta_ms,rl_tick_ms,rl_infer_ms,rl_total_ms,vision_tick_ms,vision_process_ms,nav_tick_ms,nav_vision_ms,nav_high_ms,nav_reset_ms,nav_model_reset_ms,nav_obs_build_ms,nav_state_copy_ms,nav_tensor_create_ms,nav_cat_ms,nav_hist_reset_insert_ms,nav_hist_get_ms,nav_to_device_ms,nav_to_cpu_ms,nav_post_ms,nav_log_ms,nav_publish_ms,nav_total_ms,udp_get_state_ms,nav_obs_hist_reset_ms,nav_obs_io_hist_reset_ms,nav_hf_reset_ms,nav_obs_hist_insert_ms,nav_obs_io_hist_insert_ms,nav_hf_insert_ms
71.121391,udp_recv,0,0,1.998048,0.001344,2067749.000000,5.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000160,nan,nan,nan,nan,nan,nan
71.123446,udp_recv,0,0,2.049568,0.003392,2067749.000000,0.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000544,nan,nan,nan,nan,nan,nan
71.123616,imu_pub,0,0,5.119072,0.133728,2067749.000000,5.131712,5.119072,2045576.665152,5.131712,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
71.125637,control,0,0,5.112320,2.159360,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
71.125861,udp_recv,0,0,2.405248,0.006016,2067749.000000,0.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.001536,nan,nan,nan,nan,nan,nan
71.127409,udp_recv,0,0,1.555872,0.002272,2067754.000000,5.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000288,nan,nan,nan,nan,nan,nan
71.128655,imu_pub,0,0,5.052448,0.116512,2067754.000000,5.052992,5.052448,2045581.718144,5.052992,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
71.129393,udp_recv,0,0,1.990016,0.000992,2067754.000000,0.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000416,nan,nan,nan,nan,nan,nan
71.130579,control,0,0,5.050688,2.051296,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
71.131443,udp_recv,0,0,2.048192,0.003488,2067759.000000,5.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.001472,nan,nan,nan,nan,nan,nan
